min_mcap,max_roc,min_ebit,date,code,industry,roc,ey,market_cap_yi,ebit_yi,entry_date,entry_price,exit_date,final_close,max_high,max_ret_pct,final_ret_pct,bars_held
30,9999,2,20250930,600329,中成药,118.3,7.6,333.83590332999995,22.7,20250930,43.35,20260213,43.19,50.95,17.53,-0.37,90
30,9999,2,20250930,600710,商贸代理,55.2,24.4,137.20869057,21.6,20250930,10.5,20260213,12.0,12.67,20.67,14.29,90
30,9999,2,20250930,000719,出版业,62.2,9.1,120.73804238,5.0,20250930,11.8,20260213,13.2,14.06,19.15,11.86,90
30,9999,2,20250930,601369,机械基件,176.8,6.9,144.94420478,4.8,20250930,8.41,20260213,10.69,11.35,34.96,27.11,90
30,9999,2,20250930,000913,摩托车,910.4,6.3,89.88951045,2.4,20250930,17.07,20260213,15.41,18.24,6.85,-9.72,90
30,9999,2,20250930,600398,服饰,67.9,7.9,310.73923815,19.7,20250930,6.47,20260213,6.08,6.68,3.25,-6.03,90
30,9999,2,20250930,002035,家用电器,64.9,7.4,52.8088204,3.1,20250930,6.23,20260213,6.16,6.67,7.06,-1.12,90
30,9999,2,20250930,601083,水运,47.0,10.7,148.435564,10.0,20250930,11.47,20260213,11.48,12.94,12.82,0.09,90
30,9999,2,20250930,600729,百货,80.8,7.0,116.94626569,8.6,20250930,26.55,20260213,23.88,30.1,13.37,-10.06,90
30,9999,2,20250930,600690,家用电器,88.6,6.8,2376.6919475,155.4,20250930,25.33,20260213,25.7,28.31,11.76,1.46,90
30,9999,2,20250930,600757,出版业,71.8,6.9,103.28163823,6.2,20250930,8.51,20260213,9.12,9.68,13.75,7.17,90
30,9999,2,20250930,603766,摩托车,75.2,6.9,246.83573037,12.0,20250930,12.02,20260213,15.56,16.5,37.27,29.45,90
30,9999,2,20250930,300724,专用机械,96.3,6.5,350.21712382,20.8,20250930,100.72,20260213,122.7,152.24,51.15,21.82,90
30,9999,2,20250930,601001,煤炭开采,36.0,17.0,230.30112000000003,15.5,20250930,13.76,20260213,16.29,16.95,23.18,18.39,90
30,9999,2,20260430,000656,全国地产,850.1,231.6,148.87714284999998,329.5,20260430,1.4,20260903,1.24,1.53,9.29,-11.43,85
30,9999,2,20260430,002668,家用电器,764.4,28.4,103.53264137000001,25.1,20260430,9.55,20260903,9.37,11.36,18.95,-1.88,86
30,9999,2,20260430,000915,化学制药,160.6,24.8,67.86239806,11.8,20260430,28.96,20260903,25.12,29.57,2.11,-13.26,86
30,9999,2,20260430,000951,汽车整车,275.0,14.7,255.42539679,25.1,20260430,21.85,20260903,21.39,23.88,9.29,-2.11,86
30,9999,2,20260430,000913,摩托车,129.9,33.2,71.065485,10.7,20260430,13.5,20260903,11.18,13.65,1.11,-17.19,86
30,9999,2,20260430,000404,家用电器,126.3,40.7,57.62846706,7.9,20260430,8.28,20260903,7.05,10.01,20.89,-14.86,86
30,9999,2,20260430,002612,服饰,194.2,15.3,71.18946084000001,13.5,20260430,16.09,20260903,16.1,17.2,6.9,0.06,86
30,9999,2,20260430,002697,超市连锁,204.8,13.8,70.72,6.6,20260430,5.2,20260903,4.78,5.23,0.58,-8.08,86
30,9999,2,20260430,600894,运输设备,129.1,16.0,80.73910871999999,6.6,20260430,9.48,20260903,7.39,9.58,1.05,-22.05,86
30,9999,2,20260430,002758,批发业,83.3,37.7,47.52230891,13.8,20260430,9.16,20260903,8.84,9.45,3.17,-3.49,86
30,9999,2,20260430,000719,出版业,98.4,17.3,137.31394312,12.6,20260430,13.42,20260903,12.04,14.47,7.82,-10.28,86
30,9999,2,20260430,688332,半导体,198.0,11.8,136.878957,15.1,20260430,113.5,20260903,97.33,162.42,43.1,-14.25,86
30,9999,2,20260430,601098,出版业,90.1,19.0,204.2052,16.6,20260430,11.37,20260903,9.94,11.8,3.78,-12.58,86
30,9999,2,20260430,002582,食品,85.5,21.1,56.18734032,11.4,20260430,12.55,20260903,10.19,12.95,3.19,-18.8,86
30,9999,2,20260430,600551,出版业,89.5,17.7,55.05808541,3.8,20260430,8.12,20260903,7.96,9.5,17.0,-1.97,86
30,9999,2,20260430,603529,摩托车,302.4,10.8,203.17374709,21.9,20260430,23.41,20260903,21.61,23.55,0.6,-7.69,86
30,9999,2,20260430,603173,机械基件,5139.7,10.0,62.24,4.6,20260430,38.9,20260903,30.56,40.2,3.34,-21.44,86
30,9999,2,20260430,002035,家用电器,199.6,10.8,49.926798100000006,3.5,20260430,5.89,20260903,4.59,5.95,1.02,-22.07,86
30,9999,2,20260430,601083,水运,79.8,17.7,156.71793200000002,19.1,20260430,12.11,20260903,13.0,13.48,11.31,7.35,86
30,9999,2,20260430,601117,建筑工程,72.6,29.0,525.17328993,82.5,20260430,8.6,20260903,7.42,8.68,0.93,-13.72,86
30,9999,3,20250930,000404,家用电器,1191.6,32.6,49.48531411,4.2,20250930,7.11,20260213,7.09,7.37,3.66,-0.28,90
30,9999,3,20250930,002489,家居用品,259.0,9.5,79.81980032,5.8,20250930,3.68,20260213,3.63,4.19,13.86,-1.36,90
30,9999,3,20250930,688648,机床制造,134.0,9.7,95.9208,8.2,20250930,70.53,20260213,60.97,73.09,3.63,-13.55,90
30,9999,3,20250930,000915,化学制药,74.0,14.0,73.34575481,7.4,20250930,31.3,20260213,31.9,36.16,15.53,1.92,90
30,9999,3,20250930,601098,出版业,112.3,9.3,220.5488,10.4,20250930,12.28,20260213,10.93,12.47,1.55,-10.99,90
30,9999,3,20250930,600710,商贸代理,55.2,24.4,137.20869057,21.6,20250930,10.5,20260213,12.0,12.67,20.67,14.29,90
30,9999,3,20250930,600938,石油开采,94.8,8.6,12419.57697602,934.2,20250930,26.13,20260213,34.39,36.9,41.22,31.61,90
30,9999,3,20250930,600329,中成药,118.3,7.6,333.83590332999995,22.7,20250930,43.35,20260213,43.19,50.95,17.53,-0.37,90
30,9999,3,20250930,000719,出版业,62.2,9.1,120.73804238,5.0,20250930,11.8,20260213,13.2,14.06,19.15,11.86,90
30,9999,3,20250930,601369,机械基件,176.8,6.9,144.94420478,4.8,20250930,8.41,20260213,10.69,11.35,34.96,27.11,90
30,9999,3,20250930,600398,服饰,67.9,7.9,310.73923815,19.7,20250930,6.47,20260213,6.08,6.68,3.25,-6.03,90
30,9999,3,20250930,601083,水运,47.0,10.7,148.435564,10.0,20250930,11.47,20260213,11.48,12.94,12.82,0.09,90
30,9999,3,20250930,002035,家用电器,64.9,7.4,52.8088204,3.1,20250930,6.23,20260213,6.16,6.67,7.06,-1.12,90
30,9999,3,20250930,600729,百货,80.8,7.0,116.94626569,8.6,20250930,26.55,20260213,23.88,30.1,13.37,-10.06,90
30,9999,3,20250930,601001,煤炭开采,36.0,17.0,230.30112000000003,15.5,20250930,13.76,20260213,16.29,16.95,23.18,18.39,90
30,9999,3,20250930,600690,家用电器,88.6,6.8,2376.6919475,155.4,20250930,25.33,20260213,25.7,28.31,11.76,1.46,90
30,9999,3,20250930,600757,出版业,71.8,6.9,103.28163823,6.2,20250930,8.51,20260213,9.12,9.68,13.75,7.17,90
30,9999,3,20250930,603766,摩托车,75.2,6.9,246.83573037,12.0,20250930,12.02,20260213,15.56,16.5,37.27,29.45,90
30,9999,3,20250930,300724,专用机械,96.3,6.5,350.21712382,20.8,20250930,100.72,20260213,122.7,152.24,51.15,21.82,90
30,9999,3,20250930,600741,汽车配件,41.8,8.8,646.30841672,39.4,20250930,20.5,20260213,19.05,21.54,5.07,-7.07,90
30,9999,3,20260430,000656,全国地产,850.1,231.6,148.87714284999998,329.5,20260430,1.4,20260903,1.24,1.53,9.29,-11.43,85
30,9999,3,20260430,002668,家用电器,764.4,28.4,103.53264137000001,25.1,20260430,9.55,20260903,9.37,11.36,18.95,-1.88,86
30,9999,3,20260430,000915,化学制药,160.6,24.8,67.86239806,11.8,20260430,28.96,20260903,25.12,29.57,2.11,-13.26,86
30,9999,3,20260430,000951,汽车整车,275.0,14.7,255.42539679,25.1,20260430,21.85,20260903,21.39,23.88,9.29,-2.11,86
30,9999,3,20260430,000913,摩托车,129.9,33.2,71.065485,10.7,20260430,13.5,20260903,11.18,13.65,1.11,-17.19,86
30,9999,3,20260430,000404,家用电器,126.3,40.7,57.62846706,7.9,20260430,8.28,20260903,7.05,10.01,20.89,-14.86,86
30,9999,3,20260430,002612,服饰,194.2,15.3,71.18946084000001,13.5,20260430,16.09,20260903,16.1,17.2,6.9,0.06,86
30,9999,3,20260430,002697,超市连锁,204.8,13.8,70.72,6.6,20260430,5.2,20260903,4.78,5.23,0.58,-8.08,86
30,9999,3,20260430,600894,运输设备,129.1,16.0,80.73910871999999,6.6,20260430,9.48,20260903,7.39,9.58,1.05,-22.05,86
30,9999,3,20260430,002758,批发业,83.3,37.7,47.52230891,13.8,20260430,9.16,20260903,8.84,9.45,3.17,-3.49,86
30,9999,3,20260430,000719,出版业,98.4,17.3,137.31394312,12.6,20260430,13.42,20260903,12.04,14.47,7.82,-10.28,86
30,9999,3,20260430,601098,出版业,90.1,19.0,204.2052,16.6,20260430,11.37,20260903,9.94,11.8,3.78,-12.58,86
30,9999,3,20260430,002582,食品,85.5,21.1,56.18734032,11.4,20260430,12.55,20260903,10.19,12.95,3.19,-18.8,86
30,9999,3,20260430,688332,半导体,198.0,11.8,136.878957,15.1,20260430,113.5,20260903,97.33,162.42,43.1,-14.25,86
30,9999,3,20260430,600551,出版业,89.5,17.7,55.05808541,3.8,20260430,8.12,20260903,7.96,9.5,17.0,-1.97,86
30,9999,3,20260430,603529,摩托车,302.4,10.8,203.17374709,21.9,20260430,23.41,20260903,21.61,23.55,0.6,-7.69,86
30,9999,3,20260430,601083,水运,79.8,17.7,156.71793200000002,19.1,20260430,12.11,20260903,13.0,13.48,11.31,7.35,86
30,9999,3,20260430,601117,建筑工程,72.6,29.0,525.17328993,82.5,20260430,8.6,20260903,7.42,8.68,0.93,-13.72,86
30,9999,3,20260430,002035,家用电器,199.6,10.8,49.926798100000006,3.5,20260430,5.89,20260903,4.59,5.95,1.02,-22.07,86
30,9999,3,20260430,603173,机械基件,5139.7,10.0,62.24,4.6,20260430,38.9,20260903,30.56,40.2,3.34,-21.44,86
30,300,0,20250930,002489,家居用品,259.0,9.5,79.81980032,5.8,20250930,3.68,20260213,3.63,4.19,13.86,-1.36,90
30,300,0,20250930,688648,机床制造,134.0,9.7,95.9208,8.2,20250930,70.53,20260213,60.97,73.09,3.63,-13.55,90
30,300,0,20250930,601098,出版业,112.3,9.3,220.5488,10.4,20250930,12.28,20260213,10.93,12.47,1.55,-10.99,90
30,300,0,20250930,000915,化学制药,74.0,14.0,73.34575481,7.4,20250930,31.3,20260213,31.9,36.16,15.53,1.92,90
30,300,0,20250930,600329,中成药,118.3,7.6,333.83590332999995,22.7,20250930,43.35,20260213,43.19,50.95,17.53,-0.37,90
30,300,0,20250930,600938,石油开采,94.8,8.6,12419.57697602,934.2,20250930,26.13,20260213,34.39,36.9,41.22,31.61,90
30,300,0,20250930,601369,机械基件,176.8,6.9,144.94420478,4.8,20250930,8.41,20260213,10.69,11.35,34.96,27.11,90
30,300,0,20250930,600710,商贸代理,55.2,24.4,137.20869057,21.6,20250930,10.5,20260213,12.0,12.67,20.67,14.29,90
30,300,0,20250930,000719,出版业,62.2,9.1,120.73804238,5.0,20250930,11.8,20260213,13.2,14.06,19.15,11.86,90
30,300,0,20250930,600398,服饰,67.9,7.9,310.73923815,19.7,20250930,6.47,20260213,6.08,6.68,3.25,-6.03,90
30,300,0,20250930,600729,百货,80.8,7.0,116.94626569,8.6,20250930,26.55,20260213,23.88,30.1,13.37,-10.06,90
30,300,0,20250930,600690,家用电器,88.6,6.8,2376.6919475,155.4,20250930,25.33,20260213,25.7,28.31,11.76,1.46,90
30,300,0,20250930,002035,家用电器,64.9,7.4,52.8088204,3.1,20250930,6.23,20260213,6.16,6.67,7.06,-1.12,90
30,300,0,20250930,300724,专用机械,96.3,6.5,350.21712382,20.8,20250930,100.72,20260213,122.7,152.24,51.15,21.82,90
30,300,0,20250930,603766,摩托车,75.2,6.9,246.83573037,12.0,20250930,12.02,20260213,15.56,16.5,37.27,29.45,90
30,300,0,20250930,600757,出版业,71.8,6.9,103.28163823,6.2,20250930,8.51,20260213,9.12,9.68,13.75,7.17,90
30,300,0,20250930,601083,水运,47.0,10.7,148.435564,10.0,20250930,11.47,20260213,11.48,12.94,12.82,0.09,90
30,300,0,20250930,000568,白酒,98.4,6.1,1941.79842276,101.4,20250930,131.92,20260213,116.25,145.88,10.58,-11.88,90
30,300,0,20250930,002543,家用电器,86.5,6.1,90.04996,4.4,20250930,12.11,20260213,9.11,12.55,3.63,-24.77,90
30,300,0,20250930,000333,家用电器,237.7,5.5,5582.34193326,280.7,20250930,72.66,20260213,79.05,83.17,14.46,8.79,90
30,300,0,20260430,000915,化学制药,160.6,24.8,67.86239806,11.8,20260430,28.96,20260903,25.12,29.57,2.11,-13.26,86
30,300,0,20260430,000951,汽车整车,275.0,14.7,255.42539679,25.1,20260430,21.85,20260903,21.39,23.88,9.29,-2.11,86
30,300,0,20260430,000913,摩托车,129.9,33.2,71.065485,10.7,20260430,13.5,20260903,11.18,13.65,1.11,-17.19,86
30,300,0,20260430,002612,服饰,194.2,15.3,71.18946084000001,13.5,20260430,16.09,20260903,16.1,17.2,6.9,0.06,86
30,300,0,20260430,000404,家用电器,126.3,40.7,57.62846706,7.9,20260430,8.28,20260903,7.05,10.01,20.89,-14.86,86
30,300,0,20260430,002697,超市连锁,204.8,13.8,70.72,6.6,20260430,5.2,20260903,4.78,5.23,0.58,-8.08,86
30,300,0,20260430,600894,运输设备,129.1,16.0,80.73910871999999,6.6,20260430,9.48,20260903,7.39,9.58,1.05,-22.05,86
30,300,0,20260430,000719,出版业,98.4,17.3,137.31394312,12.6,20260430,13.42,20260903,12.04,14.47,7.82,-10.28,86
30,300,0,20260430,688332,半导体,198.0,11.8,136.878957,15.1,20260430,113.5,20260903,97.33,162.42,43.1,-14.25,86
30,300,0,20260430,002758,批发业,83.3,37.7,47.52230891,13.8,20260430,9.16,20260903,8.84,9.45,3.17,-3.49,86
30,300,0,20260430,601098,出版业,90.1,19.0,204.2052,16.6,20260430,11.37,20260903,9.94,11.8,3.78,-12.58,86
30,300,0,20260430,002582,食品,85.5,21.1,56.18734032,11.4,20260430,12.55,20260903,10.19,12.95,3.19,-18.8,86
30,300,0,20260430,600551,出版业,89.5,17.7,55.05808541,3.8,20260430,8.12,20260903,7.96,9.5,17.0,-1.97,86
30,300,0,20260430,002035,家用电器,199.6,10.8,49.926798100000006,3.5,20260430,5.89,20260903,4.59,5.95,1.02,-22.07,86
30,300,0,20260430,601369,机械基件,209.3,10.4,158.21495837,8.9,20260430,9.18,20260903,8.72,10.07,9.69,-5.01,76
30,300,0,20260430,002546,电气设备,190.4,10.6,68.55883569,6.9,20260430,8.22,20260903,7.98,9.08,10.46,-2.92,86
30,300,0,20260430,601083,水运,79.8,17.7,156.71793200000002,19.1,20260430,12.11,20260903,13.0,13.48,11.31,7.35,86
30,300,0,20260430,601117,建筑工程,72.6,29.0,525.17328993,82.5,20260430,8.6,20260903,7.42,8.68,0.93,-13.72,86
30,300,0,20260430,601001,煤炭开采,74.1,19.8,323.52621,34.4,20260430,19.33,20260903,16.23,23.9,23.64,-16.04,86
30,300,0,20260430,688648,机床制造,89.8,13.4,67.4968,7.4,20260430,49.63,20260903,33.0,52.7,6.19,-33.51,86
30,300,1,20250930,002489,家居用品,259.0,9.5,79.81980032,5.8,20250930,3.68,20260213,3.63,4.19,13.86,-1.36,90
30,300,1,20250930,688648,机床制造,134.0,9.7,95.9208,8.2,20250930,70.53,20260213,60.97,73.09,3.63,-13.55,90
30,300,1,20250930,601098,出版业,112.3,9.3,220.5488,10.4,20250930,12.28,20260213,10.93,12.47,1.55,-10.99,90
30,300,1,20250930,000915,化学制药,74.0,14.0,73.34575481,7.4,20250930,31.3,20260213,31.9,36.16,15.53,1.92,90
30,300,1,20250930,600329,中成药,118.3,7.6,333.83590332999995,22.7,20250930,43.35,20260213,43.19,50.95,17.53,-0.37,90
30,300,1,20250930,600938,石油开采,94.8,8.6,12419.57697602,934.2,20250930,26.13,20260213,34.39,36.9,41.22,31.61,90
30,300,1,20250930,600710,商贸代理,55.2,24.4,137.20869057,21.6,20250930,10.5,20260213,12.0,12.67,20.67,14.29,90
30,300,1,20250930,601369,机械基件,176.8,6.9,144.94420478,4.8,20250930,8.41,20260213,10.69,11.35,34.96,27.11,90
30,300,1,20250930,000719,出版业,62.2,9.1,120.73804238,5.0,20250930,11.8,20260213,13.2,14.06,19.15,11.86,90
30,300,1,20250930,600398,服饰,67.9,7.9,310.73923815,19.7,20250930,6.47,20260213,6.08,6.68,3.25,-6.03,90
30,300,1,20250930,002035,家用电器,64.9,7.4,52.8088204,3.1,20250930,6.23,20260213,6.16,6.67,7.06,-1.12,90
30,300,1,20250930,600729,百货,80.8,7.0,116.94626569,8.6,20250930,26.55,20260213,23.88,30.1,13.37,-10.06,90
30,300,1,20250930,600690,家用电器,88.6,6.8,2376.6919475,155.4,20250930,25.33,20260213,25.7,28.31,11.76,1.46,90
30,300,1,20250930,601083,水运,47.0,10.7,148.435564,10.0,20250930,11.47,20260213,11.48,12.94,12.82,0.09,90
30,300,1,20250930,603766,摩托车,75.2,6.9,246.83573037,12.0,20250930,12.02,20260213,15.56,16.5,37.27,29.45,90
30,300,1,20250930,300724,专用机械,96.3,6.5,350.21712382,20.8,20250930,100.72,20260213,122.7,152.24,51.15,21.82,90
30,300,1,20250930,600757,出版业,71.8,6.9,103.28163823,6.2,20250930,8.51,20260213,9.12,9.68,13.75,7.17,90
30,300,1,20250930,000568,白酒,98.4,6.1,1941.79842276,101.4,20250930,131.92,20260213,116.25,145.88,10.58,-11.88,90
30,300,1,20250930,601001,煤炭开采,36.0,17.0,230.30112000000003,15.5,20250930,13.76,20260213,16.29,16.95,23.18,18.39,90
30,300,1,20250930,002543,家用电器,86.5,6.1,90.04996,4.4,20250930,12.11,20260213,9.11,12.55,3.63,-24.77,90
30,300,1,20260430,000915,化学制药,160.6,24.8,67.86239806,11.8,20260430,28.96,20260903,25.12,29.57,2.11,-13.26,86
30,300,1,20260430,000951,汽车整车,275.0,14.7,255.42539679,25.1,20260430,21.85,20260903,21.39,23.88,9.29,-2.11,86
30,300,1,20260430,000913,摩托车,129.9,33.2,71.065485,10.7,20260430,13.5,20260903,11.18,13.65,1.11,-17.19,86
30,300,1,20260430,000404,家用电器,126.3,40.7,57.62846706,7.9,20260430,8.28,20260903,7.05,10.01,20.89,-14.86,86
30,300,1,20260430,002612,服饰,194.2,15.3,71.18946084000001,13.5,20260430,16.09,20260903,16.1,17.2,6.9,0.06,86
30,300,1,20260430,002697,超市连锁,204.8,13.8,70.72,6.6,20260430,5.2,20260903,4.78,5.23,0.58,-8.08,86
30,300,1,20260430,600894,运输设备,129.1,16.0,80.73910871999999,6.6,20260430,9.48,20260903,7.39,9.58,1.05,-22.05,86
30,300,1,20260430,000719,出版业,98.4,17.3,137.31394312,12.6,20260430,13.42,20260903,12.04,14.47,7.82,-10.28,86
30,300,1,20260430,688332,半导体,198.0,11.8,136.878957,15.1,20260430,113.5,20260903,97.33,162.42,43.1,-14.25,86
30,300,1,20260430,002758,批发业,83.3,37.7,47.52230891,13.8,20260430,9.16,20260903,8.84,9.45,3.17,-3.49,86
30,300,1,20260430,601098,出版业,90.1,19.0,204.2052,16.6,20260430,11.37,20260903,9.94,11.8,3.78,-12.58,86
30,300,1,20260430,002582,食品,85.5,21.1,56.18734032,11.4,20260430,12.55,20260903,10.19,12.95,3.19,-18.8,86
30,300,1,20260430,600551,出版业,89.5,17.7,55.05808541,3.8,20260430,8.12,20260903,7.96,9.5,17.0,-1.97,86
30,300,1,20260430,002035,家用电器,199.6,10.8,49.926798100000006,3.5,20260430,5.89,20260903,4.59,5.95,1.02,-22.07,86
30,300,1,20260430,601083,水运,79.8,17.7,156.71793200000002,19.1,20260430,12.11,20260903,13.0,13.48,11.31,7.35,86
30,300,1,20260430,601369,机械基件,209.3,10.4,158.21495837,8.9,20260430,9.18,20260903,8.72,10.07,9.69,-5.01,76
30,300,1,20260430,002546,电气设备,190.4,10.6,68.55883569,6.9,20260430,8.22,20260903,7.98,9.08,10.46,-2.92,86
30,300,1,20260430,601117,建筑工程,72.6,29.0,525.17328993,82.5,20260430,8.6,20260903,7.42,8.68,0.93,-13.72,86
30,300,1,20260430,601001,煤炭开采,74.1,19.8,323.52621,34.4,20260430,19.33,20260903,16.23,23.9,23.64,-16.04,86
30,300,1,20260430,688648,机床制造,89.8,13.4,67.4968,7.4,20260430,49.63,20260903,33.0,52.7,6.19,-33.51,86
30,300,2,20250930,002489,家居用品,259.0,9.5,79.81980032,5.8,20250930,3.68,20260213,3.63,4.19,13.86,-1.36,90
30,300,2,20250930,688648,机床制造,134.0,9.7,95.9208,8.2,20250930,70.53,20260213,60.97,73.09,3.63,-13.55,90
30,300,2,20250930,000915,化学制药,74.0,14.0,73.34575481,7.4,20250930,31.3,20260213,31.9,36.16,15.53,1.92,90
30,300,2,20250930,601098,出版业,112.3,9.3,220.5488,10.4,20250930,12.28,20260213,10.93,12.47,1.55,-10.99,90
30,300,2,20250930,600938,石油开采,94.8,8.6,12419.57697602,934.2,20250930,26.13,20260213,34.39,36.9,41.22,31.61,90
30,300,2,20250930,600329,中成药,118.3,7.6,333.83590332999995,22.7,20250930,43.35,20260213,43.19,50.95,17.53,-0.37,90
30,300,2,20250930,600710,商贸代理,55.2,24.4,137.20869057,21.6,20250930,10.5,20260213,12.0,12.67,20.67,14.29,90
30,300,2,20250930,000719,出版业,62.2,9.1,120.73804238,5.0,20250930,11.8,20260213,13.2,14.06,19.15,11.86,90
30,300,2,20250930,601369,机械基件,176.8,6.9,144.94420478,4.8,20250930,8.41,20260213,10.69,11.35,34.96,27.11,90
30,300,2,20250930,600398,服饰,67.9,7.9,310.73923815,19.7,20250930,6.47,20260213,6.08,6.68,3.25,-6.03,90
30,300,2,20250930,002035,家用电器,64.9,7.4,52.8088204,3.1,20250930,6.23,20260213,6.16,6.67,7.06,-1.12,90
30,300,2,20250930,601083,水运,47.0,10.7,148.435564,10.0,20250930,11.47,20260213,11.48,12.94,12.82,0.09,90
30,300,2,20250930,600729,百货,80.8,7.0,116.94626569,8.6,20250930,26.55,20260213,23.88,30.1,13.37,-10.06,90
30,300,2,20250930,600690,家用电器,88.6,6.8,2376.6919475,155.4,20250930,25.33,20260213,25.7,28.31,11.76,1.46,90
30,300,2,20250930,600757,出版业,71.8,6.9,103.28163823,6.2,20250930,8.51,20260213,9.12,9.68,13.75,7.17,90
30,300,2,20250930,603766,摩托车,75.2,6.9,246.83573037,12.0,20250930,12.02,20260213,15.56,16.5,37.27,29.45,90
30,300,2,20250930,300724,专用机械,96.3,6.5,350.21712382,20.8,20250930,100.72,20260213,122.7,152.24,51.15,21.82,90
30,300,2,20250930,601001,煤炭开采,36.0,17.0,230.30112000000003,15.5,20250930,13.76,20260213,16.29,16.95,23.18,18.39,90
30,300,2,20250930,600741,汽车配件,41.8,8.8,646.30841672,39.4,20250930,20.5,20260213,19.05,21.54,5.07,-7.07,90
30,300,2,20250930,000568,白酒,98.4,6.1,1941.79842276,101.4,20250930,131.92,20260213,116.25,145.88,10.58,-11.88,90
30,300,2,20260430,000915,化学制药,160.6,24.8,67.86239806,11.8,20260430,28.96,20260903,25.12,29.57,2.11,-13.26,86
30,300,2,20260430,000951,汽车整车,275.0,14.7,255.42539679,25.1,20260430,21.85,20260903,21.39,23.88,9.29,-2.11,86
30,300,2,20260430,000913,摩托车,129.9,33.2,71.065485,10.7,20260430,13.5,20260903,11.18,13.65,1.11,-17.19,86
30,300,2,20260430,000404,家用电器,126.3,40.7,57.62846706,7.9,20260430,8.28,20260903,7.05,10.01,20.89,-14.86,86
30,300,2,20260430,002612,服饰,194.2,15.3,71.18946084000001,13.5,20260430,16.09,20260903,16.1,17.2,6.9,0.06,86
30,300,2,20260430,002697,超市连锁,204.8,13.8,70.72,6.6,20260430,5.2,20260903,4.78,5.23,0.58,-8.08,86
30,300,2,20260430,600894,运输设备,129.1,16.0,80.73910871999999,6.6,20260430,9.48,20260903,7.39,9.58,1.05,-22.05,86
30,300,2,20260430,000719,出版业,98.4,17.3,137.31394312,12.6,20260430,13.42,20260903,12.04,14.47,7.82,-10.28,86
30,300,2,20260430,002758,批发业,83.3,37.7,47.52230891,13.8,20260430,9.16,20260903,8.84,9.45,3.17,-3.49,86
30,300,2,20260430,688332,半导体,198.0,11.8,136.878957,15.1,20260430,113.5,20260903,97.33,162.42,43.1,-14.25,86
30,300,2,20260430,601098,出版业,90.1,19.0,204.2052,16.6,20260430,11.37,20260903,9.94,11.8,3.78,-12.58,86
30,300,2,20260430,002582,食品,85.5,21.1,56.18734032,11.4,20260430,12.55,20260903,10.19,12.95,3.19,-18.8,86
30,300,2,20260430,600551,出版业,89.5,17.7,55.05808541,3.8,20260430,8.12,20260903,7.96,9.5,17.0,-1.97,86
30,300,2,20260430,002035,家用电器,199.6,10.8,49.926798100000006,3.5,20260430,5.89,20260903,4.59,5.95,1.02,-22.07,86
30,300,2,20260430,601083,水运,79.8,17.7,156.71793200000002,19.1,20260430,12.11,20260903,13.0,13.48,11.31,7.35,86
30,300,2,20260430,601117,建筑工程,72.6,29.0,525.17328993,82.5,20260430,8.6,20260903,7.42,8.68,0.93,-13.72,86
30,300,2,20260430,601369,机械基件,209.3,10.4,158.21495837,8.9,20260430,9.18,20260903,8.72,10.07,9.69,-5.01,76
30,300,2,20260430,601001,煤炭开采,74.1,19.8,323.52621,34.4,20260430,19.33,20260903,16.23,23.9,23.64,-16.04,86
30,300,2,20260430,002546,电气设备,190.4,10.6,68.55883569,6.9,20260430,8.22,20260903,7.98,9.08,10.46,-2.92,86
30,300,2,20260430,688648,机床制造,89.8,13.4,67.4968,7.4,20260430,49.63,20260903,33.0,52.7,6.19,-33.51,86
30,300,3,20250930,002489,家居用品,259.0,9.5,79.81980032,5.8,20250930,3.68,20260213,3.63,4.19,13.86,-1.36,90
30,300,3,20250930,688648,机床制造,134.0,9.7,95.9208,8.2,20250930,70.53,20260213,60.97,73.09,3.63,-13.55,90
30,300,3,20250930,000915,化学制药,74.0,14.0,73.34575481,7.4,20250930,31.3,20260213,31.9,36.16,15.53,1.92,90
30,300,3,20250930,601098,出版业,112.3,9.3,220.5488,10.4,20250930,12.28,20260213,10.93,12.47,1.55,-10.99,90
30,300,3,20250930,600710,商贸代理,55.2,24.4,137.20869057,21.6,20250930,10.5,20260213,12.0,12.67,20.67,14.29,90
30,300,3,20250930,600938,石油开采,94.8,8.6,12419.57697602,934.2,20250930,26.13,20260213,34.39,36.9,41.22,31.61,90
30,300,3,20250930,600329,中成药,118.3,7.6,333.83590332999995,22.7,20250930,43.35,20260213,43.19,50.95,17.53,-0.37,90
30,300,3,20250930,000719,出版业,62.2,9.1,120.73804238,5.0,20250930,11.8,20260213,13.2,14.06,19.15,11.86,90
30,300,3,20250930,601369,机械基件,176.8,6.9,144.94420478,4.8,20250930,8.41,20260213,10.69,11.35,34.96,27.11,90
30,300,3,20250930,600398,服饰,67.9,7.9,310.73923815,19.7,20250930,6.47,20260213,6.08,6.68,3.25,-6.03,90
30,300,3,20250930,601083,水运,47.0,10.7,148.435564,10.0,20250930,11.47,20260213,11.48,12.94,12.82,0.09,90
30,300,3,20250930,002035,家用电器,64.9,7.4,52.8088204,3.1,20250930,6.23,20260213,6.16,6.67,7.06,-1.12,90
30,300,3,20250930,600729,百货,80.8,7.0,116.94626569,8.6,20250930,26.55,20260213,23.88,30.1,13.37,-10.06,90
30,300,3,20250930,601001,煤炭开采,36.0,17.0,230.30112000000003,15.5,20250930,13.76,20260213,16.29,16.95,23.18,18.39,90
